correct,options,question,rationale,spatial representations,counting and operation,logical problem solving
D,"['A)5', 'B)8', 'C)12', 'D)15', 'E)20']",Marla starts running around a circular track at the same time Nick starts walking around the same circular track. Marla completes 32 laps around the track per hour and Nick completes 12 laps around the track per hour. How many minutes after Marla and Nick begin moving will Marla have completed 5 more laps around the track than Nick?,"Marla runs 32 laps per hour ==> 0.53 laps per min
Nick runs 12 laps per hour ==> 0.2 laps per min
for every min Marla is taking 0.33 laps advantage
the time when Marla takes 5 laps advantage ==> 5/0.33 = 15.15 ~ 15
Answer D",0,1,0
A,"['A)15 years', 'B)16 years', 'C)19 years', 'D)22 years', 'E)25 years']",Proportion of Yuvaraj’s age to Ganguly’s age is 4:3. Yuvaraj will be 26 years old after 6 years. What is the age of Ganguly now?,"Current ages of Yuvaraj = 4A and
Ganguly = 3A
So that 4A + 6 = 26
A = 5
Current age of Ganguly = 3(A)
=> 3 x 5 =15 years",0,1,0
D,"['A)10.5', 'B)11.2', 'C)12.5', 'D)13.5', 'E)15.8']",A man says that he gained 10 percent as profit in selling a suitable cloth material. He says if he had purchased the same one 10 percent cheaper than it was actual and if he had sold it for 20% profit he gets 25paise less. find at what price he sold the suit?,"Let cp = 100 then sp = 110;
when cp= 90 then sp = 108;
Now when 200p less sp = 108
So 25 p less, sp = 108/200*25=13.5
ANSWER:D",0,1,0
C,"['A)11:50', 'B)11:51', 'C)11:53', 'D)11:54', 'E)None of these']",Tanya's grandfather was 8 times older to her 16 years ago. He would be 3 times of her age 8 years from now. What was ratio of ages of Tanya and her grandfather 8 years ago.,"Let, Tanya age 16 years ago = x,
Grandfather's age 16 years ago = 8x.
8 years from now, 3(x+16+8) = (8x+16+8)
=> x = 48/5
8 years ago ratio was:
=>x+8/8x+8=48/5+8/8×48/5+8
=>88/424=11/53
Option C",0,1,0
B,"['A)9', 'B)10', 'C)11', 'D)12', 'E)13']","The least possible value of |89 - 9a|, where a is an integer, is","|89 - 9a| will have least value when a has highest possible value.
for a= 10 expression |89 - 9a| becomes |89 -90| = 1 which is the least possible value.
Answer: B",0,0,1
A,"['A)Rafa', 'B)Roger', 'C)Inconsistent data', 'D)Indeterminate', 'E)none of these']","In tennis, service alternates for each game between the two players and the first player to win 6 games wins. A player winning 6-2 indicates that 8 games were played, of which the winning player won 6 and the losing player won 2.Rafa beat Roger in a set of tennis, winning six games to Roger’s three. Five games were won by the playerwho did not serve. Who served first?","As its 6-3, totally 9 games were played.
Rafa served first so he served 5 games among which 2 were won by Roger.
Roger served second so he served 4 games among which 3 were won by Rafa.
So, totally 5 games were won by the player who did not serve.
Also Rafa won 6 -> 3 from his serve and 3 from Roger's serve.
Roger won 3 -> 1 from his serve and 2 from Rafa's serve.
ANSWER:A",0,0,1
E,"['A)11', 'B)12', 'C)13', 'D)14', 'E)None of these']",Ashish is given Rs. 158 in one-rupee denominations. He has been asked to allocate them into a number of bags such that any amount required between Re 1 and Rs. 158 can be given by handing out a certain number of bags without opening them. What is the minimum number of bags required?,"No. of one rupee coins = 158.
Possible arrangement of coins are listed as
1,2,4,8,16,32,64 and 31.
So, number of arrangements = 8.
Hence, the least number of bags required is 8.
Answer : E",0,0,1
B,"['A)260', 'B)240', 'C)25', 'D)none of these', 'E)Cannot be determined']","Last year Sahara, Tata, Singhania and Birla each has 250 industries. This year everyone has sold out 10 factories due to the recession of the economy and poor turnout. The average number of industries which of them now has","Required average
= Old average - Sold average
= ( 250 ) - ( 10 ) = 240
Correct Option: B",0,1,0
B,"['A)y = x - 4', 'B)y = x -5', 'C)y = 2x -4', 'D)y = 2x -5', 'E)y = 3x -4']","Which of the following is the equation of a line that goes through the point (10,5) and has an x-intercept of 5.","If a line has an x-intercept of 5, by definition, the line must go through the point (5,0). You now have two points, which will form a line: (5,0) and (10,5).
Calculate the slope of the line (i.e., rise over run).
Rise = change in y = 5 - 0 = 5
Run = change in x = 10 - 5 = 5
Slope = Rise/Run = 5/5 = 1
Substitute the slope, 1, in for m.
y = mx + b
y = 1x + b
y = x + b
Substitute an ordered pair in for x and y and solve for b, which is the intercept. Use (10, 5).
5 = 1*10 + b
5 -10 = b
b = -5
Answer is B",1,0,0
B,"['A)65 liters', 'B)91 liters', 'C)38 liters', 'D)124 liters', 'E)None of the above']","In a mixture of milk and water, there is only 26% water. After replacing the mixture with 7 liters of pure milk, the percentage of milk in the mixture become 76%. The quantity of the mixture is:","Initially, the percentage of milk and water is 74% and 26%, respectively. After replacement, the percentage of mild and water is 76% and 24%, respectively.
Left amount = Initial amount (1 - replaced amount/total amount)
=> 24=(1-7/k)
=> 12/13 = (1-7/k)
=> 1/13 = 7/k
=> k = 91
Answer: B)",0,1,0
A,"['A)7056', 'B)3600', 'C)550', 'D)440', 'E)250']","The least perfect square number, exactly divisible by 21, 36 and 56 is?","LCM = 7 * 3 * 4 * 3 * 2 = 504
504 * 7 * 2 = 7056
ANSWER A",0,0,1
A,"['A)1947', 'B)1948', 'C)1980', 'D)2000', 'E)1998']",Mr. X died when his age was 1/59th of year of birth. What was his date of birth?,"Let his age was x (when he died)and birth date is y then
y*(1/59)=x
y=59*x
now we put x value
59*32=1888
59*33=1947
59*34=2006
ANSWER:A",0,1,0
D,"['A)1', 'B)2', 'C)3', 'D)4', 'E)5']",Santa distributes 2 gifts to every child in the street at the Christmas evening. He mistakenly gives 4 gifts to some children. If he distributed 50 gifts to 21 children. How many children got 4 gifts?,"Santa had 50 gifts and there were 21 children, and each of them had to receive at least 2 gifts , so santa should have given 42 gifts in total, but instead he gave 4 gifts to some of them.
It means, he gave 8 more gifts in pairs of 2 i.e. he had 4 pairs of gifts. That means, 4 children got 4 gifts.
Verification:
17 children got only 2 gifts i.e. 17 * 2 = 34 gifts.
4 children got 4 gifts each, so : 4 * 4 = 16 gifts
Total is 50.",0,0,1
A,"['A)2000', 'B)4,000', 'C)4,500', 'D)2,500', 'E)None of these']","The ratio of A’s and B’s salary is 9 : 4. If A’s salary is increased by 15%, then his total salary becomes 5175. What is the salary of B?","Let the salaries of A and B be 9x and 4x.
9x × 115⁄100 = 5175
\ x = 500
\ salary of B = 500 × 4 = 2000
Answer A",0,1,0
C,"['A)63, 59', 'B)59, 63', 'C)59, 43', 'D)43, 39', 'E)63, 39']","Of two numbers, 4 times the smaller one is less then 3 times the larger one by 5. If the sum of the numbers is larger than 6 times their difference by 6, find the two numbers.","Let the numbers be x and y, such that x > y
Then, 3x - 4y = 5 ...(i) and (x + y) - 6 (x - y) = 6
=> -5x + 7y = 6 …(ii)
Solving (i) and (ii), we get: x = 59 and y = 43.
Hence, the required numbers are 59 and 43.
Answer C)59, 43",0,0,1
D,"['A)10', 'B)12', 'C)14', 'D)16', 'E)20']","Cost of 3 cricket balls = cost of 2 pairs of leg pads. Cost of 3 pairs of leg pads = cost of 2 pairs of gloves. Cost of 3 pairs of gloves = cost of 2 cricket bats. If a cricket bat costs Rs 54, what is the cost of a cricket ball?","3 pairs of gloves = 2x54 = Rs 108 ; 1 pair of gloves = 108/3 = Rs 36 ; 3 pairs of leg pads = 2 * 36 = 72 ; 1 pair of leg pads = 72/3 = Rs 24 ; 3 cricket balls = 2 * 24 = 48 ; 1 cirket ball = 48/3 = 16
Answer : D",0,1,0
D,"['A)7', 'B)24', 'C)31', 'D)2', 'E)12']",Peter piper picked a pack of pickled peppers according to the function Y=(1/X)*X^3-7. If X=3 how many pickled peppers did he pick?,"Y=(1/3)*3^3-7=2
Answer is D",0,1,0
B,"['A)20%', 'B)30%', 'C)40%', 'D)50%', 'E)60%']","John invested $100 in each of the funds A and B. After one year, the value of the money in fund A was $10 higher than the value of the money in fund B. After another year, the value of the money in fund A was $25 higher than the value of the money in fund B. If the value of the money in each fund increased by a fixed interest compounded annually, what was the annual interest of fund A?","If rate of interest in fund A is 20%, rate of interest in fund B is 10% and difference in interest earned on interest = 20% of 20 - 10% of 10 = 4 -1 = 3
If rate of interest in fund A is 30%, rate of interest in fund B is 20% and difference in interest earned on interest = 30% of 30 - 20% of 20 = 9 - 4 = 5
Answer (B)",0,0,1
D,"['A)0', 'B)1', 'C)2', 'D)3', 'E)4']","If P represents a single digit in the four digit number x=18P6, how many different values of P are there such that x is divisible by 8?","1600 is divisible by 8, so 1600+200 = 1800 is also divisible by 8.
Then the values we are looking for are 1816, 1856, and 1896.
The answer is D.",0,0,1
E,"['A)30', 'B)35', 'C)25', 'D)20', 'E)40']",Vegetables contains 68% water and green vegetables contains 20% water. How much green vegetables can be obtained from 100 kg of Vegetables ?,"veg and green veg = 68 and 32
32/100*100 = 80/100*x
x=40 kg
ANSWER E",0,0,1
E,"['A)8', 'B)9', 'C)10', 'D)11', 'E)12']",M is a set of even numbers from 1 to 23 and odd numbers from 24 to 100. Find no. of zeroes in the sum of all values in the set.,"We have to find no of occurrence of 5.
10-1. 35-1. 65-1. 95-1
20-1. 45-1. 75-2
25-2. 55-1. 85-1
Total 12
ANSWER:E",0,0,1
B,"['A)K/8', 'B)5K/4', 'C)K', 'D)3K/2', 'E)6K']","During a 10-week period, a doughnut store conducted a promotion by giving away one free doughnut with every doughnut purchased. If the store sold and gave away a total of K doughnuts per week, and each doughnut was sold for $0.25, how many dollars worth of doughnuts did the store give away?","Total number of donuts sold and given away in a week =K =(K/2 + K/2)=(sold + free)
cost of each donut =$0.25
number of free donuts in a week= 0.25*K/2=K/8
in 10 weeks time 10*K/8 =5K/4
Answer :B",0,1,0
C,"['A)24', 'B)49', 'C)22', 'D)9', 'E)8']",The mean proportional between 45 and a certain number is three times the mean proportional between 5 and 22. The number is ?,"If X be the required number, then
(45 x X)1/2 = 3 x (5 x 22)1/2
45X = 9 x 110
X = 22
ANSWER:C",0,1,0
D,"['A)50', 'B)100', 'C)125', 'D)140', 'E)175']",x contains 85% water and 15% oil; how many more liters of water than liters of oil are in 200 liters of solution x?,"water = 200*85/100 = 170
oil =200*15/100 =30
170 - 30 = 140
Answer: D",0,1,0
C,"['A)12', 'B)13', 'C)14', 'D)15', 'E)16']","A batsman has scored an average of 46 runs for a certain number of innings played in England. When he came back to India, he played another two test matches of two innings each and scored at an average of 55 runs. For the innings in England and in India taken together, he has improved his average by 2 runs over the matches played in England. Find the number of innings played in England.","Let the number of innings played in England be x.
∴ Total runs scored in England = 46x
Total runs scored for innings played in India
= 55 × 4 = 220
(∵ the number of innings played in India = 4)
Also, 46x+220/x+4 = 48
⇒ 46x + 220 = 48 x + 192
⇒ 2x = 28
⇒ x = 14
Answer C",0,0,1
B,"['A)22', 'B)77', 'C)269', 'D)279', 'E)71']","Mr. Bean chooses a number and he keeps on doubling the number followed by subtracting one from it, if he chooses 3 as initial number and he repeats the operation for 30 times then what is the final result?","Step 1: (3 x 2) - 1 = 5 ( 2^2 + 1)
Step 2: (5 x 2) - 1 = 9 (2^3 + 1)
Step 3: (9 x 2) - 1 = 17 (2^4 + 1)
Step 4: (17 x 2) - 1 = 33 (2^5 + 1)
So After 30 steps we have 2^31 + 1
Ans: B",0,1,0
B,"['A)Rs 7925', 'B)Rs 8925', 'C)Rs 7926', 'D)Rs 7925', 'E)None of these']",There was a simple interest of Rs. 4016.25 on a principal amount at the rate of 9% p.a. in 5 years. Find the principal amount.,"P=S.I.*100 /R*T
So, by putting values from the question we can get the answer
P=4016.25*100/9*5=8925
Option B",0,0,1
C,"['A)2', 'B)3', 'C)4', 'D)5', 'E)6']","A fair coin is tossed 6 times. If heads appears on the first 2 tosses, then what is the total number of heads we would expect after all 6 tosses.","As the given coin is a fair coin, the last 4 tosses are independent of the first 2, so we would expect heads 2 out of the 4 tosses left. Thus making the total 4 heads out of the 6 tosses.
Answer:C",0,0,1
C,"['A)34', 'B)38', 'C)56', 'D)28', 'E)19']",A rectangle has twice the area of a square. The length of the rectangle is 14 cm greater than that side of the square whereas breadth is equal to side of the square. Find the perimeter of the square?,"Let side of square be x.
Then for rectangle length = 14 + x and breadth = x.
It is given
Area of rectangle = 2 × (area of square)
length × breadth = 2(x × x)
(x + 14) × x = 2 × x2
x2 + 14x = 2x2
x2 = 14x
x = 14.
Perimeter of square = 4 × x = 56
Answer: C",1,0,0
C,"['A)6.5%', 'B)7.0%', 'C)7.5%', 'D)8.0%', 'E)8.5%']","In a shipment of 120 machine parts, 5 percent were defective. In a shipment of 80 machine parts, 10 percent were defective. For the two shipments combined, what percent of the machine parts were defective?","5% of 120 is 6
10% of 80 is 8
As the question says two shipments combined, we have to add the defective as well as total shipments.
8+6/120+80 = 15/200 = 7.5%
Answer C",0,1,0
B,"['A)3', 'B)4', 'C)5', 'D)6', 'E)7']","John buys koolaid for 12$ at a local store. If he bought it at the wholesale store he would get an extra liter of koolaid for the same cost. Also, the koolaid is 1$ cheaper per liter at the wholesale store. What is the price per liter of the koolaid at the local store?","12/(x+1) = 12/x -1
=>x = -4 or 3
=> x = 3 as price cannot be negative.
=> price per liter at local store = 12/3 = 4
Answer B.",0,1,0
D,"['A)3', 'B)6', 'C)12', 'D)25', 'E)30']","Box W and Box V each contain several blue sticks and red sticks, and all of the red sticks have the same length. The length of each red stick is 19 inches less that the average length of the sticks in Box W and 6 inches greater than the average length of the sticks in Box V. What is the average (arithmetic mean) length, in inches, of the sticks in Box W minus the average length, in inches, of the sticks in Box V?","W has x red and y blue. V has a red and b blue
length(x)=length(a) = length(x)*x + length(y)*y / x+y + 19 = length(a)*a+length(b)*b/a+b + 6
shifting terms, we get the first term minus second term is 6+19=25
D",1,0,0
E,"['A)20*pi', 'B)25*pi', 'C)30*pi', 'D)35*pi', 'E)40*pi']","A circular gear with a diameter of 25 cm is mounted directly over another circular gear with a diameter of 100 cm. Both gears run on the same axle at their exact centers and each gear has a single notch at the 12 o'clock position. At the same moment, the gears start to rotate at the same rate in cm/s, with the larger gear moving clockwise and the smaller gear moving anticlockwise.
How far in centimeters will the notch on the larger gear have moved the second time the notches pass each other?","The large gear has a circumference that is 4 times the small gear.
If the rate in cm/s is equal, the small gear rotates 4 times as many degrees per second.
The first meeting happens when the small gear rotates 4/5 of a circle and the large gear rotates 1/5 of a circle. At the second meeting, the large gear will have rotated a total of 2/5 of a circle.
2/5*2*pi*R = 40*pi centimeters.
The answer is E.",1,0,0
D,"['A)1360', 'B)1380', 'C)1280', 'D)1260', 'E)1460']",A college has 10 basketball players. A 5-member team and a captain will be selected out of these 10 players. How many different selections can be made?,"A team of 6 members has to be selected from the 10 players. This can be done in 10C v 6 or 210 ways.
Now, the captain can be selected from these 6 players in 6 ways.
Therefore, total ways the selection can be made is 210×6= 1260
ANSWER:D",0,0,1
A,"['A)620 kgs', 'B)1,401kgs', 'C)1,104kgs', 'D)1,014kgs', 'E)None']",A canteen requires 62 kgs of wheat for 6 days. How many kgs of wheat will it require for 60 days?,"Quantity of wheat for 6 days = 62kg
quantity of wheat for one day = 62/6 kg
quantity of wheat for 60 days= 62/6* 60 = 620 kg
Answer A",0,1,0
A,"['A)1575.04', 'B)1675.04', 'C)1775.04', 'D)1475.04', 'E)1875.04']","Under a buy one get one free offer, with the selling price of a t-shirt of 4200. The shopkeeper says he got 33.33% profit. What is cost price ?","sp=4200
profit=33.33%=(100+33.33)=133.33
cp=(100*4200)/133.33
=3150.07 (cp for 2 t-shirt)
so cp for 1t-shirt= 1575.04
ANSWER:A",0,1,0
A,"['A)13:4', 'B)14:5', 'C)15:5', 'D)16:5', 'E)None']","1 year ago, Promila was 4 times as old as her daughter Jenilia. In 6 years, Promila's age will exceed her daughter’s age by 9 years. The ratio of the present ages of Promila and her daughter is :","Let the ages of Promila and Jenilia 1 year ago be 4x and x years, respectively.
Then, [(4x + 1) + 6] - [(x + 1) + 6] = 9 ⇔ 3x = 9 ⇔ x = 3.
∴ Required ratio = (4x + 1) : (x + 1) = 13:4.
Answer A",0,1,0
D,"['A)8:30 AM', 'B)8.55 AM', 'C)8:45 PM', 'D)Data inadequate', 'E)None of these']",Manoj left home for the bus stop 15 minutes earlier than the usual time. It takes 10 minutes to reach the stop. He reached the stop at 8.40 AM. What time does he usually leave home for the bus stop?,"He takes 10 mins to reach at the bus station. So, he left the room at 8.30am. This time he left 15 minutes earlier, so he usually leaves home at 8.30+15=8.45am
ANSWER:D",0,1,0
C,"['A)Rs.30', 'B)Rs.24', 'C)Rs.36', 'D)Rs.40', 'E)Rs.45']",If a quarter kilogram costs Rs.60 then how much will cost for 150 grams?,"Given 250 gms costs Rs.60/-
Then 50 gm costs Rs.12
:.150gm costs 3 x12 =- Rs.36/-.
Answer: Option C",0,1,0
A,"['A)$32.3', 'B)$32.4', 'C)$32.5', 'D)$32.6', 'E)$32.7']","A shop is offering discounts on shirts costing $20 each. If someone buys 2 shirts, he will be offered a discount of 15% on the first shirt and another 10% discount on the reduced price for the second shirt. How much would one pay for two shirts at this shop?","The reduced price for the first shirt
20 - 15% * 20 = $17
The reduced price for the second shirt. The 10% discount will be on the already reduced price, hence the price of the second shirt is given by
17 - 10% * 17 = $15.3. The total cost for the two shirts is
17 + 15.3 = $32.3
Answer A",0,1,0
C,"['A)25%', 'B)40%', 'C)50%', 'D)75%', 'E)96%']","John and Mike had equal amount of money in savings at the beginning of last year. Then, Mike’s savings increased by 20% by the end of last year and decreased by 20% this year. John’s savings at first decreased by 20% by the end of last year and then increased by 20% this year. What percentage of John’s and Mike’s savings combined are John’s savings alone?","For John ----> 100 * 0.8 * 1.2 ----> 96 $ (as there was a 20% decrease followed by a 20% increase)
For Mike ---> 100*1.2*0.8 ----> 96$ (as there was a 20% increase followed by a 20% decrease)
Thus % of John's savings = 96 / (96+96) = 50%. Thus, C is the correct answer",0,0,0
D,"['A)15', 'B)25', 'C)28', 'D)19', 'E)16']","A shopkeeper gives a full bottle of soft drink in return for five empty bottles. A guy has 77 empty bottles and he can use them to get full soft drink bottles.
How many filled bottles will he be able to collect?","77 empty bottles = 15 full bottles + 2 empty bottles
15 full bottles will give him 15 empty bottles more.
15 + 2 = 17
17 empty bottles = 3 full bottles + 2 empty bottles
3 full bottles will give him 2 empty bottles more.
3 + 2 = 5
5 empty bottles = 1 filled bottle
15 + 3 + 1 = 19
Thus we will be able to get 19 full bottles of soft drink.",0,0,0
B,"['A)Rs 82', 'B)Rs 41', 'C)Rs 4', 'D)Rs 28', 'E)None']","A salesman enters the quantity sold and the price into the computer. Both the numbers are two-digit numbers. But, by mistake, both the numbers were entered with their digits interchanged. The total sales value remained the same, i.e. Rs. 1,148, but the inventory reduced by 54.
What is the actual price per piece?","( 10x + y )( 10a + b ) = 1148. -----------(i)
=> ( 10y + x )(10b + a ) = 1148. -----------(ii)
From (i) and (ii), we get -
=> 99(ax - by) = 0.
=> ax = by where a, b, x, y all are < 10.
From given answers, we get ax = by in the pair 14, 82 we have
=> 14 x 82 = 1148 = 41x28 so price is 14, number sold is 82..
When the digits are reversed, price is 41 and number sold is 28
Answer : B",0,0,0
C,"['A)176', 'B)877', 'C)360', 'D)169', 'E)191']","For a candidate to clear an examination, he/she must score 55% marks. If he/she gets 120 and fails by 78 marks, the total marks for the examination is","Here the mark obtained by the candidate is 120 and the candidate fails by 78 marks.
Therefore, the passing mark is (120+78) = 198
Let the total mark be x,
55/100 * x = 198
Hence, x = 360
ANSWER: C",0,0,0
A,"['A)40cm', 'B)30cm', 'C)20cm', 'D)10cm', 'E)None of these']","The volume of a wall, 5 times as high as it is broad and 8 times as long as it is high, is 12.8 cubic meters. Find the breadth of the wall.","Let the breadth of the wall be x metres.
Then, Height = 5x metres and Length = 40x metres.
x * 5x * 40x = 12.8
=> x3 = 12.8/200 = 128/2000 = 64/1000
=> x = 4/10 m
=> x = (4/10) × 100 = 40 cm
Answer: A",0,0,0
A,"['A)sx/(3.6p)', 'B)1000xp/s', 'C)xp/s', 'D)60xp/s', 'E)xp3.6*10^s']","A car travels at a speed of x kilometers per p hours. How many meters will it travel in s seconds, in terms of s, p and x. (xps ≠ 0; 1 kilometer = 1000 meters)?","Distance travelled = (1000*x) metres
Time taken = s seconds = (p*3600) seconds
Therefore 1 sec = (3600p)/s
Speed in metres/sec = (1000x)/(3600p/s) = (sx/3.6p)
Answer: A",0,0,0
C,"['A)Rs.8,000', 'B)Rs.15,000', 'C)Rs.20,000', 'D)Rs.10,000', 'E)Rs.30,000']",Anil invests an amount for 2 years at the rate of 15% per annum at simple interest.Had he invested in a scheme in which interest was compounded yearly he would have got Rs.450 more. Find the principal,"Difference D between compound and simple interest for 2 years,
D=P*(R/100)^2
where P is the principal
R is rate of interest
so here,
450=P*(0.15)^2
=> P=20000
ANSWER:C",0,0,0
A,"['A)15 min', 'B)16 min', 'C)14 min', 'D)18 min', 'E)19 min']","The ratio between the speeds of the A and B is 2:3, and therefore A takes 10 min more than the time taken by B to reach the destination. If A had walked at double the speed, he would have covered the distance in","Ratio of speed = 2:3
Ratio of time = 3:2
A takes 10 min more
3x-2x = 10 min
A time=30 min
-> covers the distance in 30 min , if its speed is x
-> He will cover the same distance in 15 min, if its speed
doubles (i.e 2x)",0,0,0
D,"['A)$158', 'B)$312', 'C)$75', 'D)$302', 'E)$206']","If 0.497 mark has the value of one dollar, what is the value to the nearest dollar of 150 marks?","the answer is D
0.497==>1
150==>?(say x)
then x = 150/0.497 appx = 302",0,0,0
A,"['A)$4100', 'B)$5200', 'C)$4500', 'D)$4000', 'E)$5400']","In a fuel station the service costs $2 per car, every liter of fuel costs $1. Assuming that a company owns 50 cars and that every fuel tank contains 80 liters and they are all empty, how much money total will it cost to fuel all cars?","50*2 + 1*50*80 = 4100
correct option is A",0,0,0
D,"['A)2', 'B)3', 'C)4.5', 'D)8', 'E)9']","A sink contains exactly 11 liters of water. If water is drained from the sink until it holds exactly 5 liters of water less than the quantity drained away, how many liters of water were drained away?","Drained water - D
Holded water = D - 5
Total water = Drained + Holded = D + D - 5 = 11
2D = 16
D = 8
So answer is D",0,0,0
B,"['A)f/7', 'B)f/6', 'C)f/8', 'D)f/10', 'E)10f']","If 300 billion French francs is equivalent to 50 billion United States dollars, which of the following expressions represents the number of United States dollars equivalent to f francs?","300 billion French francs = 50 billion
=> 300 French francs = 50 USD
=> 6 French francs = 1 USD
1 French francs = 1/6 USD
So, f Francs equals f/6
Answer : B",0,0,0
C,"['A)12 h', 'B)6 h', 'C)4 h', 'D)11 h', 'E)9 h']","There are two friends A and B. A starts with his car at the speed 40 kmph. B starts one hour later from the same place, in the same direction on his bike at the speed of 50 kmph. After how many hours will they meet ?","Friend A starts first , he covers the distance = 40 kmph x 1hr = 40 km
The second friend B started after 1 hour.
Relative Speed = 50 kmph - 40 kmph = 10 kmph
so, they will meet in = 40/10 = 4 hour.
ANSWER:C",0,0,0
A,"['A)10', 'B)20', 'C)30', 'D)40', 'E)50']","Varsha bought a Laptop for $1060, which was the retail price plus a 6 percent sales tax. How much money could she have saved if she had bought the stereo at the same retail price in a neighboring state where she would have paid a sales tax of 5 percent?","p+tax = 106%
Price = 1060/106 * 100 = 1000
105% = 1050
She will be saving 10 dollars.",0,0,0
A,"['A)60 kmph', 'B)65 kmph', 'C)68 kmph', 'D)70 kmph', 'E)80 kmph']",Every day a cyclist meets a train at a particular crossing. The road is straight before the crossing and both are travelling in the same direction. The cyclist travels with a speed of 10 kmph. One day the cyclist comes late by 25 min and meets the train 5km before the crossing. What is the speed of the train?,"Speed of the train = 60km/hr.
Speed of Cyclist travel = 10km/hr.
It means, Cyclist travels 5km in 30minutes.
If Cyclist comes late by 25 min and meets the train 5km before the crossing means, it shows
Train can travel 5Kms in 5minutes.
So, speed of train is (5 km/5min) = 1 km/1min = 60km per hour.
ANSWER:A",0,0,0
B,"['A)40', 'B)50', 'C)60', 'D)70', 'E)80']","The promoters of the Springfield music festival estimated a 60 percent increase in ticket sales from last year, but because of bad weather, ticket sales actually decreased by 20 percent from last year’s level. What percent of the projected ticket sales were the actual ticket sales?","Assuming 100 tickets were sold last year, projected ticket sales this year = 160 (60% increase)
But actual ticket sales = 80 (20% decrease)
Now x%160=80 => x=50
Answer B",0,0,0
D,"['A)70', 'B)100', 'C)128', 'D)140', 'E)None of these']",Two trains are running with speed 30 km/hr. and 58km/hr. in the same direction. A man in the slower train passes the faster train in 18 seconds. The length (in metres) of the faster trains is:,"The relative speed = 58 - 30 = 28 Km/hr. = 140/18 m/s.
Therefore in 18 secs the faster train travels = (140/18) * 18 = 140
Answer D",0,0,0
B,"['A)Thumb', 'B)Index finger', 'C)Middle finger', 'D)Ring finger', 'E)none']","A girl counted in the following way on the fingers of her left hand : She started by calling the thumb 1, the index finger 2, middle finger 3, ring finger 4, little finger 5 and then reversed direction calling the ring finger 6, middle finger 7 and so on. She counted upto 1994. She ended counting on which finger ?","while counting the numbers associated to the thumb will be 1,9,17,25,.........
i.e., numbers of the form (8n + 1 ).
where n=1,2,3...
Since 1994 = 249 × 8 + 2, so 1993 shall correspond to the thumb and 1994 to the index finger.
ANSWER:B",0,0,0
B,"['A)7', 'B)8', 'C)9', 'D)10', 'E)11']","Rick can recite the entirety of Macbeth in 183 minutes. His grandson Morty has agreed to listen to Slippy recite Macbeth but doesn't really want to and so is planning to sneak away after 10 minutes and then come back five minutes before the end, as he knows Rick will be too self-absorbed to realise his absence. During this time he is planning to use an intergalactic portal to instantly teleport to an arcade, Blips and Chitz, and play his favorite virtual reality game, Life of Roy. If every round of Life of Roy takes 19 minutes, how many complete rounds can Morty play and still get back to Rick's recital in time?","Morty has 168 minutes to spend in Blips and Chitz. 183 minutes - 10 minutes (at the beginning of the recital) - 5 minutes (at the end of the recital).
Each round of Life of Roy takes 19 minutes therefore Morty can play 8 full rounds (168/19 = 8.84), the ninth round would be incomplete.
ANSWER: B",0,0,0
D,"['A)22', 'B)39', 'C)26', 'D)60', 'E)11']","Country Club has an indoor swimming club. Thirty percent of the members of a swim club have passed the lifesaving test. Among the members who have not passed the test, 12 have taken the preparatory course and 30 have not taken the course. How many members are there in the swim club?","30 + 12 = 42 did not pass the test. This is equal to 70 % of the total members. So total members
= 100/ 70 x 42
= 60
Answer:D",0,0,0
A,"['A)24', 'B)25', 'C)26', 'D)28', 'E)30']","Recently, scientists were able to sequence an individual's humane genome in just 4 weeks using a super fast modern computer. A computer manufactured just 2 years earlier would have taken 24 weeks to do the same amount of work.
For more targeted treatment of his cancer, Steve needs his human genome to be sequenced as soon as possible and scientists plan to use both the super fast modern computer and the 2 year-old computer to get the job done. Assuming both computers can tackle discrete components of the genome sequencing process, how many days should doctors expect to have the results of Steve's human genome sequencing project?","Given:
The old computer does work in: 24 weeks ---> r = 1/24/week
The new computers does the work in: 4 weeks ---> r = 1/4/week
Together both computers do: r = 1/24+ 1/4 = 7/24/week
Find: t - ?
Solution:
If both computers do: 7/24 of total work per week
7/24 = 3.42
3.42 x 7 = 23.94 or 24 days
Answer: A",0,0,0
C,"['A)185', 'B)190', 'C)195', 'D)200', 'E)205']","A shop gives 10% discount on the purchase of an item. If paid for in cash immediately, a further discount of 12% is given. If the original price of the item is Rs. 250, what is the price of the article if a cash purchase is made?","total discount in case of immediately paid =10%+12%=22%
price of article=250-250*22%=rs 195
ANSWER:C",0,0,0
B,"['A)25000', 'B)25300', 'C)26000', 'D)26300', 'E)27000']","When an item is sold for Rs. 18,700 the owner loses 15%. At what price should that plot be sold for a gain of 15%?","Cost = 18700*100/85 = 22000
==>22000*115/100 = 25300
ANSWER B",0,0,0
B,"['A)Rs.200', 'B)Rs.210', 'C)Rs.217.80', 'D)Rs.280', 'E)None']","A loan was repaid in two annual instalments of Rs.112 each. If the rate of interest be 10% per annum compounded annually, the sum borrowed was :","Principal = (Present value of Rs.121 due 1 year hence ) + (Present value of Rs.121 due 2 years hence )
= Rs. 121/(1+10/100)+121/(1+10/100)2 =Rs.210
Correct Option: B",0,0,0
